x,y,zr
320364.2952,4194955.392,0
328807.1629,4192134.978,0
327410.1601,4193500.23,0
329283.4138,4194283.399,0
327801.7442,4194928.983,0
326436.4915,4194463.316,0
325399.3227,4194198.732,0
325272.3225,4195077.15,0
326838.659,4195521.651,0
327325.4933,4196632.903,0
326838.659,4198823.658,0
326341.2413,4199522.159,22
328383.8287,4201268.413,0
327336.0766,4200940.329,0
327685.3273,4203215.75,10
331474.1682,4205226.587,0
323492.6256,4193560.767,0
323778.3762,4193649.668,0
323702.176,4193979.868,0
323530.7257,4194265.619,0
322965.5745,4194214.819,0
323524.3757,4194767.27,0
323625.9759,4194951.42,0
324559.4277,4194773.62,0
320431.9195,4196361.123,0
320851.0203,4197091.374,38
321276.4712,4197466.025,82
320946.2705,4197605.725,96
321606.6718,4197459.675,78
321466.9715,4197186.625,55
321301.8712,4196596.073,32
321847.9723,4196678.624,53
321720.9721,4197021.524,55
322070.2228,4196977.074,90
318929.6123,4197331.616,0
319247.1129,4197556.513,20
319802.739,4198231.202,48
318704.716,4199117.558,42
320067.3229,4198720.682,63
320358.3652,4199236.62,88
318638.5701,4199514.433,48
319167.7378,4200017.143,64
319088.3626,4200691.831,76
318589.1811,4201034.909,110
318583.8894,4201294.201,70
319816.8502,4201743.993,109
320975.7275,4201024.325,110
318552.1393,4201929.202,66
319631.6415,4202470.276,100
322171.6466,4200287.459,148
323620.2432,4200446.209,110
323699.6184,4199566.468,121
324440.4532,4199487.093,81
324308.1613,4198633.81,96
325088.6836,4200532.199,50
325148.215,4200221.313,52
321171.5196,4199514.874,115
321626.6038,4199493.708,158
322182.2299,4199472.541,162
322483.8555,4199239.707,172
323214.107,4198684.081,160
322298.6468,4198377.164,170
321801.2292,4198403.622,290
321806.5208,4198768.748,110
320981.0192,4198699.956,112
320880.4773,4199049.207,146
321245.603,4199329.666,138
320640.5879,4199424.916,140
321148.589,4198453.364,165
320869.7176,4196672.185,0
331304.9051,4206760.768,1
328669.6498,4204030.262,0
312683.4929,4205427.265,7
315239.373,4205205.015,16
322221.0796,4196623.237,60
330245.9082,4204494.607,1
311630.0425,4209084.186,7
313376.2959,4210036.688,10
318429.8477,4211835.858,23
320096.7261,4210089.605,29
318641.5148,4213926.071,12
322160.4802,4215328.365,11
323959.6504,4215883.991,7
327399.2407,4217127.535,4
332426.334,4210909.815,3
332267.5837,4208290.434,2
333775.7117,4211703.566,0
333140.7105,4213767.32,0
336051.133,4214349.405,0
337400.5107,4215037.323,0
336209.8833,4219085.456,0
333960.9204,4219058.998,0
331394.457,4218450.455,0
328298.8258,4219773.374,2
322663.1895,4222551.505,6
323472.8161,4223818.861,5
322784.8981,4226147.199,5
318869.0569,4234137.632,6
325060.3193,4232867.629,2
327811.9915,4233608.464,1
330140.3295,4237577.222,0.5
331304.4985,4238953.058,0.5
331198.6649,4241387.23,0.5
333527.0029,4241704.73,0.25
331992.4165,4243345.15,0.5
330351.9966,4248689.744,1
338765.7634,4244403.486,0
340141.5995,4233132.213,0
342522.8542,4228316.787,0
335908.2577,4229057.622,0
327071.1567,4225882.615,2.5
331039.9146,4224559.696,0
331198.6649,4227311.368,0
331410.332,4221014.272,1
